地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10950,20211104,平川橋,矢那川,,957,流心（中央）,0.07,千葉県,晴れ,21.3,14.7,0.35,0.45,0.11,,8,10,1.8,3.2,6,1.70E+04,,1.4,0.065,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,1,>30.0,,1,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,20220105,平川橋,矢那川,,925,流心（中央）,0.12,千葉県,晴れ,5.6,5.9,0.6,0.39,0.09,,8,12,1,2.1,3,3.30E+03,,1.5,0.056,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,1.1,>30.0,,1.1,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10960,20210510,富士見橋,矢那川,,823,流心（中央）,0.08,千葉県,晴れ,21.8,20,0.4,0.61,0.07,,7.7,5.1,1.4,4.1,6,2.30E+04,,1.2,0.12,0.008,,,,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.52,0.04,0.41,>30.0,,0.45,<0.005,,,,,,,0.31,,,,,6.6,,2500,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10960,20210712,富士見橋,矢那川,,912,流心（中央）,0.15,千葉県,晴れ,31,25.5,0.76,1.32,0.09,,7.9,6.3,1.2,3.8,3,1.10E+04,,1.3,0.079,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.67,>30.0,,0.7,,<0.005,<0.01,<0.1,<0.1,<0.02,,0.15,,,,,6.5,,1600,,5500,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10960,20211104,富士見橋,矢那川,,927,流心（中央）,0.12,千葉県,晴れ,17.9,16.3,0.63,0.96,0.09,,7.8,7.4,0.8,2.8,3,7.90E+03,,1,0.086,0.021,,,,<0.0003,<0.1,0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.45,0.04,0.65,>30.0,,0.69,<0.005,,,,,,,0.18,,,,,4.1,,2000,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10960,20220105,富士見橋,矢那川,,1000,流心（中央）,0.25,千葉県,晴れ,6.6,6,1.29,1.91,0.09,,7.9,11,1.2,3,1,4.90E+03,,1.8,0.096,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,>30.0,,1.1,,,,,,,,0.38,,,,,4.2,,290,,370,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10970,20210413,岩田橋,小櫃川上流,A,840,流心（中央）,0.24,千葉県,曇り,16.8,13.8,1.23,2.3,0.25,,7.9,9.6,0.8,4.7,6,7.00E+03,,0.74,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.8,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10970,20210510,岩田橋,小櫃川上流,A,920,流心（中央）,0.22,千葉県,晴れ,20.8,19.1,1.1,1.63,0.31,,8.1,9.5,0.9,4.7,6,2.30E+04,,0.64,0.12,0.002,,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.1,<0.03,0.32,>30.0,<0.1,0.35,<0.005,,,,,,,0.04,,,,,6.2,,27,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10970,20210609,岩田橋,小櫃川上流,A,1120,流心（中央）,0.22,千葉県,晴れ,30,23.5,1.14,2.42,0.27,,8.1,7.6,1.6,6.3,18,4.90E+04,,0.8,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,6.1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10970,20210712,岩田橋,小櫃川上流,A,1145,流心（中央）,0.24,千葉県,晴れ,30.4,25.3,1.22,2.72,0.25,,8,8.4,0.9,5.4,17,7.90E+04,,0.89,0.11,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.46,>30.0,,0.49,,<0.005,<0.01,0.2,<0.1,<0.02,,<0.03,,,,,6.8,,23,,9,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.0000001,<0.0000001,0.0000058,0.0000056,0.0000059,,,,,,
